Map,Player,Team,Agent,Overall VLR Rating,Overall ACS,Overall Kills,Overall Deaths,Overall Assists,Overall +/-,Overall KAST,Overall ADR,Overall HS%,Overall First Kills,Overall First Deaths,Overall First Blood +/-,Attack VLR Rating,Attack ACS,Attack Kills,Attack Deaths,Attack Assists,Attack +/-,Attack KAST,Attack ADR,Attack HS%,Attack First Kills,Attack First Deaths,Attack First Blood +/-,Defense VLR Rating,Defense ACS,Defense Kills,Defense Deaths,Defense Assists,Defense +/-,Defense KAST,Defense ADR,Defense HS%,Defense First Kills,Defense First Deaths,Defense First Blood +/-,Map Result,Rounds Won,Rounds Lost,Total Rounds,Attack Rounds Won,Attack Rounds Lost,Total Attack Rounds,Defense Rounds Won,Defense Rounds Lost,Total Defense Rounds,Attack Half Rounds Won,Attack Half Rounds Lost,Total Attack Half Rounds,Defense Half Rounds Won,Defense Half Rounds Lost,Total Defense Half Rounds,Overtime Attack Rounds Won,Overtime Attack Rounds Lost,Total Overtime Attack Rounds,Overtime Defense Rounds Won,Overtime Defense Rounds Lost,Total Overtime Defense Rounds,Overtime Rounds Won,Overtime Rounds Lost,Total Overtime Rounds
Haven,mitch,C9,skye,1.51,250,18,8,5,10,94%,159,21%,0,2,-2,1.53,254,12,6,3,6,92%,165,28%,0,2,-2,1.47,243,6,2,2,4,100%,146,6%,0,0,0,Win,13,5,18,7,5,12,6,0,6,7,5,12,6,0,6,0,0,0,0,0,0,0,0,0
Haven,OXY,C9,jett,1.42,336,23,14,3,9,78%,181,25%,8,2,6,0.84,234,11,10,0,1,67%,130,35%,4,2,2,2.57,542,12,4,3,8,100%,284,20%,4,0,4,Win,13,5,18,7,5,12,6,0,6,7,5,12,6,0,6,0,0,0,0,0,0,0,0,0
Haven,v1c,C9,omen,1.28,189,12,8,7,4,94%,135,61%,1,1,0,1.22,185,8,6,3,2,92%,137,63%,0,1,-1,1.39,198,4,2,4,2,100%,130,56%,1,0,1,Win,13,5,18,7,5,12,6,0,6,7,5,12,6,0,6,0,0,0,0,0,0,0,0,0
Haven,Xeppaa,C9,killjoy,1.2,221,13,10,5,3,100%,160,23%,2,0,2,1.17,246,9,8,4,1,100%,172,19%,1,0,1,1.25,173,4,2,1,2,100%,136,36%,1,0,1,Win,13,5,18,7,5,12,6,0,6,7,5,12,6,0,6,0,0,0,0,0,0,0,0,0
Haven,neT,C9,viper,0.84,132,9,8,3,1,78%,88,29%,0,2,-2,0.59,110,5,6,1,-1,67%,74,36%,0,2,-2,1.35,176,4,2,2,2,100%,117,25%,0,0,0,Win,13,5,18,7,5,12,6,0,6,7,5,12,6,0,6,0,0,0,0,0,0,0,0,0
Haven,heat,FUR,viper,0.92,176,12,15,3,-3,56%,109,42%,1,3,-2,0.62,175,4,6,1,-2,50%,106,38%,0,2,-2,1.07,178,8,9,2,-1,58%,111,44%,1,1,0,Loss,5,13,18,0,6,6,5,7,12,0,6,6,5,7,12,0,0,0,0,0,0,0,0,0
Haven,adverso,FUR,sova,0.9,211,12,14,4,-2,83%,156,24%,0,0,0,0.86,227,4,6,2,-2,83%,154,17%,0,0,0,0.93,204,8,8,2,0,83%,157,30%,0,0,0,Loss,5,13,18,0,6,6,5,7,12,0,6,6,5,7,12,0,0,0,0,0,0,0,0,0
Haven,Palla,FUR,neon,0.75,178,11,16,2,-5,56%,124,36%,2,2,0,0.06,54,1,6,1,-5,33%,28,50%,0,1,-1,1.09,240,10,10,1,0,67%,172,35%,2,1,1,Loss,5,13,18,0,6,6,5,7,12,0,6,6,5,7,12,0,0,0,0,0,0,0,0,0
Haven,tuyz,FUR,omen,0.58,97,6,13,6,-7,72%,63,50%,2,2,0,0.16,66,1,6,1,-5,50%,50,29%,0,2,-2,0.79,113,5,7,5,-2,83%,70,71%,2,0,2,Loss,5,13,18,0,6,6,5,7,12,0,6,6,5,7,12,0,0,0,0,0,0,0,0,0
Haven,Urango,FUR,killjoy,0.27,133,7,17,1,-10,44%,89,29%,2,4,-2,0.23,121,2,6,1,-4,50%,83,38%,0,1,-1,0.28,139,5,11,0,-6,42%,92,26%,2,3,-1,Loss,5,13,18,0,6,6,5,7,12,0,6,6,5,7,12,0,0,0,0,0,0,0,0,0
Bind,OXY,C9,raze,1.78,339,21,7,5,14,82%,190,12%,4,1,3,1.37,319,6,3,2,3,60%,176,5%,0,1,-1,1.95,348,15,4,3,11,92%,196,17%,4,0,4,Win,13,4,17,4,1,5,9,3,12,4,1,5,9,3,12,0,0,0,0,0,0,0,0,0
Bind,Xeppaa,C9,vyse,1.64,357,22,10,7,12,88%,223,31%,5,0,5,1.1,248,6,3,0,3,60%,135,29%,2,0,2,1.87,403,16,7,7,9,100%,259,32%,3,0,3,Win,13,4,17,4,1,5,9,3,12,4,1,5,9,3,12,0,0,0,0,0,0,0,0,0
Bind,v1c,C9,brimstone,1.48,202,13,5,9,8,94%,139,24%,1,1,0,1.54,294,5,3,1,2,100%,168,23%,1,0,1,1.46,164,8,2,8,6,92%,127,25%,0,1,-1,Win,13,4,17,4,1,5,9,3,12,4,1,5,9,3,12,0,0,0,0,0,0,0,0,0
Bind,neT,C9,viper,1.26,173,12,5,2,7,82%,109,47%,1,2,-1,1.63,230,4,1,0,3,80%,166,63%,0,1,-1,1.11,150,8,4,2,4,83%,85,36%,1,1,0,Win,13,4,17,4,1,5,9,3,12,4,1,5,9,3,12,0,0,0,0,0,0,0,0,0
Bind,mitch,C9,skye,1.02,131,6,7,10,-1,88%,95,19%,1,1,0,1.05,125,2,2,3,0,80%,76,22%,0,0,0,1,135,4,5,7,-1,92%,103,18%,1,1,0,Win,13,4,17,4,1,5,9,3,12,4,1,5,9,3,12,0,0,0,0,0,0,0,0,0
Bind,tuyz,FUR,brimstone,0.72,104,6,13,8,-7,47%,74,55%,0,2,-2,0.58,79,3,9,5,-6,50%,48,75%,0,2,-2,1.06,165,3,4,3,-1,40%,136,43%,0,0,0,Loss,4,13,17,3,9,12,1,4,5,3,9,12,1,4,5,0,0,0,0,0,0,0,0,0
Bind,adverso,FUR,deadlock,0.61,142,8,15,3,-7,35%,80,24%,2,5,-3,0.26,67,3,11,1,-8,25%,34,50%,1,3,-2,1.45,325,5,4,2,1,60%,188,19%,1,2,-1,Loss,4,13,17,3,9,12,1,4,5,3,9,12,1,4,5,0,0,0,0,0,0,0,0,0
Bind,heat,FUR,viper,0.59,120,6,15,3,-9,53%,99,28%,0,1,-1,0.52,106,4,10,2,-6,58%,77,31%,0,1,-1,0.76,155,2,5,1,-3,40%,150,25%,0,0,0,Loss,4,13,17,3,9,12,1,4,5,3,9,12,1,4,5,0,0,0,0,0,0,0,0,0
Bind,Palla,FUR,raze,0.57,164,8,16,3,-8,35%,111,18%,1,3,-2,0.72,190,7,11,1,-4,33%,127,23%,0,2,-2,0.21,103,1,5,2,-4,40%,74,0%,1,1,0,Loss,4,13,17,3,9,12,1,4,5,3,9,12,1,4,5,0,0,0,0,0,0,0,0,0
Bind,Urango,FUR,skye,0.37,102,6,15,4,-9,47%,50,14%,2,1,1,0.58,127,5,10,4,-5,58%,60,11%,2,1,1,0.02,46,1,5,0,-4,20%,26,50%,0,0,0,Loss,4,13,17,3,9,12,1,4,5,3,9,12,1,4,5,0,0,0,0,0,0,0,0,0
Bind,Sato,LEV,yoru,1.87,375,31,15,4,16,83%,239,47%,8,1,7,1.69,410,15,8,3,7,100%,249,53%,5,0,5,2.03,343,16,7,1,9,67%,230,41%,3,1,2,Win,13,10,23,8,3,11,5,7,12,8,3,11,5,7,12,0,0,0,0,0,0,0,0,0
Bind,Okeanos,LEV,brimstone,1.03,220,18,17,11,1,78%,124,45%,3,1,2,0.94,196,8,8,5,0,91%,109,40%,1,0,1,1.12,244,10,9,6,1,67%,139,50%,2,1,1,Win,13,10,23,8,3,11,5,7,12,8,3,11,5,7,12,0,0,0,0,0,0,0,0,0
Bind,tex,LEV,gekko,0.9,157,13,13,4,0,74%,99,39%,3,0,3,1.22,219,9,5,3,4,73%,124,40%,2,0,2,0.6,101,4,8,1,-4,75%,77,38%,1,0,1,Win,13,10,23,8,3,11,5,7,12,8,3,11,5,7,12,0,0,0,0,0,0,0,0,0
Bind,kiNgg,LEV,viper,0.84,112,8,12,8,-4,74%,86,34%,0,0,0,0.82,111,5,5,1,0,73%,75,50%,0,0,0,0.85,113,3,7,7,-4,75%,96,29%,0,0,0,Win,13,10,23,8,3,11,5,7,12,8,3,11,5,7,12,0,0,0,0,0,0,0,0,0
Bind,C0M,LEV,fade,0.74,123,10,14,8,-4,65%,85,37%,2,5,-3,1.1,175,8,5,3,3,73%,113,31%,2,1,1,0.41,77,2,9,5,-7,58%,60,45%,0,4,-4,Win,13,10,23,8,3,11,5,7,12,8,3,11,5,7,12,0,0,0,0,0,0,0,0,0
Bind,Virtyy,LOUD,raze,1.45,311,25,18,3,7,70%,187,19%,5,5,0,1.59,335,15,8,1,7,75%,198,24%,4,3,1,1.3,286,10,10,2,0,64%,176,14%,1,2,-1,Loss,10,13,23,7,5,12,3,8,11,7,5,12,3,8,11,0,0,0,0,0,0,0,0,0
Bind,lukxo,LOUD,viper,1.04,213,17,14,5,3,78%,145,29%,0,0,0,1,222,9,8,3,1,83%,153,19%,0,0,0,1.08,205,8,6,2,2,73%,136,47%,0,0,0,Loss,10,13,23,7,5,12,3,8,11,7,5,12,3,8,11,0,0,0,0,0,0,0,0,0
Bind,RobbieBk,LOUD,skye,0.94,166,12,15,7,-3,78%,117,28%,1,2,-1,1.17,183,7,5,4,2,83%,107,80%,1,1,0,0.7,150,5,10,3,-5,73%,129,10%,0,1,-1,Loss,10,13,23,7,5,12,3,8,11,7,5,12,3,8,11,0,0,0,0,0,0,0,0,0
Bind,pANcada,LOUD,brimstone,0.66,107,9,15,7,-6,61%,68,26%,1,3,-2,0.65,110,5,7,3,-2,67%,67,50%,1,0,1,0.67,105,4,8,4,-4,55%,69,8%,0,3,-3,Loss,10,13,23,7,5,12,3,8,11,7,5,12,3,8,11,0,0,0,0,0,0,0,0,0
Bind,cauanzin,LOUD,gekko,0.47,98,8,18,4,-10,65%,76,24%,0,6,-6,0.58,89,4,7,1,-3,67%,66,44%,0,2,-2,0.35,108,4,11,3,-7,64%,86,15%,0,4,-4,Loss,10,13,23,7,5,12,3,8,11,7,5,12,3,8,11,0,0,0,0,0,0,0,0,0
Ascent,C0M,LEV,sova,1.61,280,22,12,5,10,74%,176,17%,1,0,1,1.11,176,6,7,2,-1,64%,119,28%,0,0,0,2.06,377,16,5,3,11,83%,228,13%,1,0,1,Loss,10,13,23,3,8,11,7,5,12,3,8,11,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,Sato,LEV,jett,1.03,219,17,17,4,0,57%,143,44%,4,7,-3,0.61,170,6,10,1,-4,45%,102,60%,2,6,-4,1.42,265,11,7,3,4,67%,180,39%,2,1,1,Loss,10,13,23,3,8,11,7,5,12,3,8,11,7,5,12,0,0,0,0,0,0,0,0,0
